iter	Passed	Remaining
375	25976	43110
376	26060	43065
377	26133	43002
378	26202	42932
379	26275	42870
380	26339	42792
381	26412	42730
382	26476	42652
383	26536	42568
384	26616	42516
385	26677	42435
386	26742	42359
387	26800	42273
388	26862	42193
389	26928	42118
390	27002	42057
391	27073	41990
392	27141	41920
393	27212	41854
394	27281	41786
395	27348	41713
396	27420	41648
397	27488	41578
398	27560	41513
399	27634	41451
400	27703	41383
401	27765	41303
402	27828	41225
403	27887	41140
404	27957	41072
405	28034	41016
406	28125	40978
407	28208	40930
408	28272	40852
409	28332	40771
410	28400	40700
411	28466	40626
412	28535	40557
413	28608	40494
414	28686	40437
415	28746	40355
416	28808	40276
417	28874	40203
418	28941	40131
419	29021	40077
420	29093	40011
421	29168	39950
422	29250	39899
423	29320	39831
424	29429	39816
425	29492	39738
426	29554	39659
427	29614	39578
428	29693	39521
429	29757	39445
430	29838	39392
431	29909	39324
432	29985	39265
433	30063	39207
434	30135	39140
435	30216	39087
436	30307	39046
437	30376	38976
438	30435	38894
439	30498	38816
440	30577	38759
441	30653	38698
442	30741	38651
443	30811	38583
444	30891	38527
445	30965	38463
446	31033	38393
447	31117	38341
448	31221	38313
449	31313	38271
450	31428	38258
451	31494	38183
452	31572	38123
453	31644	38056
454	31719	37993
455	31837	37981
456	31919	37926
457	31998	37867
458	32068	37797
459	32156	37748
460	32221	37672
461	32314	37630
462	32394	37571
463	32460	37497
464	32542	37441
465	32613	37373
466	32678	37297
467	32751	37230
468	32821	37159
469	32892	37091
470	32966	37025
471	33029	36947
472	33106	36886
473	33184	36824
474	33258	36759
475	33325	36686
476	33392	36612
477	33472	36554
478	33537	36478
479	33603	36403
480	33678	36339
481	33743	36263
482	33808	36188
483	33877	36117
484	33955	36055
485	34029	35989
486	34104	35925
487	34165	35845
488	34239	35779
489	34303	35703
490	34372	35632
491	34459	35579
492	34524	35504
493	34596	35436
494	34674	35374
495	34747	35307
496	34813	35233
497	34877	35157
498	34954	35094
499	35020	35020
500	35086	34946
501	35164	34884
502	35241	34821
503	35324	34763
504	35394	34693
505	35464	34623
506	35530	34549
507	35601	34480
508	35681	34419
509	35759	34356
510	35840	34297
511	35914	34231
512	35986	34162
513	36070	34105
514	36143	34038
515	36222	33976
516	36285	33899
517	36353	33826
518	36429	33761
519	36492	33685
520	36568	33620
521	36639	33551
522	36706	33477
523	36769	33401
524	36841	33332
525	36915	33265
526	36978	33189
527	37042	33113
528	37122	33052
529	37191	32981
530	37258	32908
531	37326	32835
532	37402	32770
533	37471	32699
534	37535	32624
535	37601	32550
536	37674	32483
537	37736	32405
538	37806	32335
539	37886	32273
540	37965	32210
541	38033	32139
542	38097	32063
543	38181	32005
544	38247	31931
545	38319	31862
546	38386	31790
547	38453	31717
548	38520	31644
549	38595	31578
550	38657	31501
551	38727	31431
552	38800	31363
553	38883	31303
554	38958	31236
555	39038	31174
556	39098	31096
557	39161	31020
558	39229	30948
559	39297	30876
560	39363	30803
561	39429	30729
562	39496	30657
563	39576	30594
564	39655	30530
565	39721	30457
566	39789	30385
567	39858	30315
568	39930	30246
569	40017	30189
570	40097	30125
571	40158	30048
572	40234	29983
573	40310	29916
574	40378	29844
575	40461	29784
576	40547	29725
577	40634	29667
578	40699	29593
579	40773	29525
580	40852	29461
581	40925	29392
582	41001	29326
583	41086	29266
584	41163	29201
585	41234	29131
586	41326	29076
587	41398	29007
588	41473	28939
589	41548	28873
590	41648	28822
591	41730	28760
592	41823	28705
593	41917	28650
594	41999	28587
595	42079	28523
596	42144	28449
597	42219	28381
598	42300	28318
599	42379	28252
600	42455	28185
601	42524	28113
602	42599	28046
603	42663	27971
604	42730	27898
605	42806	27831
606	42871	27757
607	42942	27686
608	43016	27618
609	43110	27562
610	43175	27488
611	43245	27417
612	43322	27350
613	43403	27286
614	43482	27220
615	43598	27178
616	43667	27106
617	43744	27039
618	43827	26976
619	43901	26907
620	44013	26861
621	44087	26792
622	44156	26720
623	44236	26655
624	44306	26584
625	44387	26519
626	44459	26449
627	44536	26381
628	44621	26318
629	44701	26253
630	44773	26183
631	44855	26118
632	44940	26055
633	45012	25985
634	45097	25922
635	45191	25864
636	45275	25800
637	45347	25730
638	45421	25660
639	45489	25587
640	45559	25515
641	45631	25445
642	45713	25380
643	45822	25330
644	45909	25267
645	46003	25209
646	46088	25145
647	46175	25082
648	46261	25019
649	46339	24951
650	46413	24882
651	46499	24818
652	46568	24746
653	46645	24677
654	46719	24607
655	46797	24540
656	46873	24470
657	46940	24397
658	47011	24326
659	47084	24255
660	47148	24180
661	47218	24108
662	47286	24035
663	47358	23964
664	47434	23895
665	47513	23828
666	47588	23758
667	47665	23690
668	47749	23624
669	47835	23560
670	47907	23489
671	47975	23416
672	48086	23364
673	48169	23298
674	48254	23233
675	48319	23158
676	48385	23085
677	48447	23009
678	48513	22934
679	48575	22859
680	48651	22789
681	48705	22710
682	48763	22632
683	48833	22560
684	48909	22491
685	48976	22417
686	49051	22347
687	49122	22276
688	49202	22208
689	49268	22135
690	49347	22067
691	49418	21995
692	49481	21920
693	49549	21847
694	49622	21776
695	49694	21705
696	49765	21633
697	49836	21562
698	49902	21488
699	49972	21416
700	50031	21339
701	50100	21267
702	50165	21193
703	50230	21119
704	50292	21044
705	50356	20969
706	50418	20894
707	50478	20818
708	50540	20743
709	50602	20668
710	50673	20597
711	50745	20526
712	50808	20451
713	50870	20376
714	50931	20301
715	50998	20228
716	51058	20152
717	51130	20081
718	51209	20013
719	51275	19940
720	51343	19867
721	51410	19795
722	51475	19721
723	51541	19648
724	51612	19576
725	51696	19510
726	51775	19442
727	51834	19366
728	51898	19292
729	51965	19219
730	52032	19147
731	52093	19072
732	52156	18998
733	52222	18925
734	52287	18851
735	52352	18778
736	52422	18707
737	52486	18633
738	52553	18560
739	52621	18488
740	52698	18419
741	52775	18350
742	52836	18275
743	52894	18200
744	52953	18125
745	53019	18052
746	53077	17976
747	53140	17902
748	53211	17831
749	53272	17757
750	53336	17684
751	53402	17611
752	53469	17539
753	53532	17465
754	53596	17392
755	53666	17320
756	53732	17248
757	53794	17174
758	53860	17101
759	53921	17027
760	53983	16954
761	54043	16879
762	54106	16806
763	54177	16735
764	54250	16665
765	54328	16596
766	54399	16525
767	54463	16452
768	54545	16384
769	54609	16311
770	54674	16239
771	54737	16165
772	54802	16093
773	54863	16019
774	54934	15948
775	55003	15877
776	55073	15806
777	55141	15734
778	55202	15660
779	55266	15588
780	55330	15515
781	55392	15441
782	55471	15373
783	55530	15299
784	55589	15225
785	55664	15155
786	55723	15081
787	55787	15008
788	55852	14936
789	55925	14866
790	55990	14793
791	56057	14722
792	56117	14648
793	56213	14584
794	56282	14513
795	56347	14440
796	56408	14367
797	56472	14294
798	56543	14224
799	56601	14150
800	56659	14076
801	56721	14003
802	56802	13935
803	56868	13863
804	56931	13790
805	57001	13719
806	57061	13646
807	57129	13575
808	57195	13503
809	57262	13431
810	57327	13360
811	57402	13290
812	57460	13216
813	57519	13143
814	57581	13070
815	57642	12997
816	57703	12924
817	57766	12852
818	57846	12784
819	57918	12713
820	57980	12641
821	58051	12570
822	58119	12499
823	58193	12429
824	58281	12362
825	58354	12292
826	58437	12224
827	58505	12153
828	58581	12083
829	58652	12013
830	58724	11942
831	58786	11870
832	58849	11798
833	58913	11726
834	58979	11654
835	59050	11584
836	59108	11510
837	59165	11437
838	59228	11365
839	59301	11295
840	59388	11228
841	59464	11158
842	59551	11090
843	59621	11020
844	59689	10948
845	59767	10879
846	59838	10809
847	59909	10738
848	59988	10669
849	60070	10600
850	60152	10531
851	60233	10463
852	60316	10394
853	60418	10329
854	60504	10260
855	60571	10189
856	60651	10120
857	60720	10049
858	60816	9982
859	60890	9912
860	60965	9842
861	61047	9773
862	61114	9701
863	61200	9633
864	61286	9564
865	61363	9495
866	61442	9425
867	61529	9356
868	61621	9289
869	61712	9221
870	61794	9152
871	61861	9080
872	61931	9009
873	61992	8937
874	62082	8868
875	62209	8805
876	62284	8735
877	62352	8664
878	62423	8592
879	62496	8522
880	62563	8450
881	62633	8379
882	62708	8309
883	62781	8238
884	62847	8166
885	62909	8094
886	62984	8023
887	63060	7953
888	63135	7883
889	63238	7816
890	63323	7746
891	63394	7675
892	63475	7605
893	63547	7534
894	63625	7464
895	63699	7393
896	63775	7323
897	63851	7252
898	63919	7181
899	63990	7110
900	64061	7038
901	64136	6968
902	64199	6896
903	64280	6826
904	64355	6755
905	64430	6684
906	64492	6612
907	64572	6542
908	64639	6471
909	64709	6399
910	64786	6329
911	64864	6258
912	64941	6188
913	65036	6119
914	65119	6049
915	65182	5977
916	65249	5905
917	65316	5834
918	65382	5762
919	65443	5690
920	65523	5620
921	65595	5549
922	65674	5478
923	65746	5407
924	65818	5336
925	65884	5265
926	65957	5194
927	66038	5123
928	66120	5053
929	66192	4982
930	66255	4910
931	66332	4839
932	66395	4767
933	66460	4696
934	66527	4624
935	66613	4554
936	66699	4484
937	66802	4415
938	66886	4345
939	66972	4274
940	67054	4204
941	67138	4133
942	67212	4062
943	67293	3992
944	67375	3921
945	67452	3850
946	67531	3779
947	67612	3708
948	67685	3637
949	67766	3566
950	67835	3495
951	67909	3424
952	67987	3353
953	68068	3282
954	68137	3210
955	68213	3139
956	68282	3068
957	68347	2996
958	68418	2925
959	68485	2853
960	68556	2782
961	68636	2711
962	68699	2639
963	68763	2567
964	68831	2496
965	68897	2424
966	68968	2353
967	69054	2282
968	69138	2211
969	69219	2140
970	69286	2069
971	69349	1997
972	69412	1926
973	69478	1854
974	69543	1783
975	69616	1711
976	69678	1640
977	69743	1568
978	69809	1497
979	69879	1426
980	69945	1354
981	70007	1283
982	70070	1211
983	70143	1140
984	70214	1069
985	70280	997
986	70355	926
987	70426	855
988	70497	784
989	70558	712
990	70623	641
991	70688	570
992	70755	498
993	70818	427
994	70894	356
995	70972	285
996	71049	213
997	71127	142
998	71199	71
999	71281	0
